Date,Close/Last
09/02/2022,$155.81
09/01/2022,$157.96
08/31/2022,$157.22
08/30/2022,$158.91
08/29/2022,$161.38
08/26/2022,$163.62
08/25/2022,$170.03
08/24/2022,$167.53
08/23/2022,$167.23
08/22/2022,$167.57
08/19/2022,$171.52
08/18/2022,$174.15
08/17/2022,$174.55
08/16/2022,$173.03
08/15/2022,$173.19
08/12/2022,$172.10
08/11/2022,$168.49
08/10/2022,$169.24
08/09/2022,$164.92
08/08/2022,$164.87
08/05/2022,$165.35
08/04/2022,$165.81
08/03/2022,$166.13
08/02/2022,$160.01
08/01/2022,$161.51
07/29/2022,$162.51
07/28/2022,$157.35
07/27/2022,$156.79
07/26/2022,$151.60
07/25/2022,$152.95
07/22/2022,$154.09
07/21/2022,$155.35
07/20/2022,$153.04
07/19/2022,$151
07/18/2022,$147.07
07/15/2022,$150.17
07/14/2022,$148.47
07/13/2022,$145.49
07/12/2022,$145.86
07/11/2022,$144.87
07/08/2022,$147.04
07/07/2022,$146.35
07/06/2022,$142.92
07/05/2022,$141.56
07/01/2022,$138.93
06/30/2022,$136.72
06/29/2022,$139.23
06/28/2022,$137.44
06/27/2022,$141.66
06/24/2022,$141.66
06/23/2022,$138.27
06/22/2022,$135.35
06/21/2022,$135.87
06/17/2022,$131.56
06/16/2022,$130.06
06/15/2022,$135.43
06/14/2022,$132.76
06/13/2022,$131.88
06/10/2022,$137.13
06/09/2022,$142.64
06/08/2022,$147.96
06/07/2022,$148.71
06/06/2022,$146.14
06/03/2022,$145.38
06/02/2022,$151.21
06/01/2022,$148.71
05/31/2022,$148.84
05/27/2022,$149.64
05/26/2022,$143.78
05/25/2022,$140.52
05/24/2022,$140.36
05/23/2022,$143.11
05/20/2022,$137.59
05/19/2022,$137.35
05/18/2022,$140.82
05/17/2022,$149.24
05/16/2022,$145.54
05/13/2022,$147.11
05/12/2022,$142.56
05/11/2022,$146.50
05/10/2022,$154.51
05/09/2022,$152.06
05/06/2022,$157.28
05/05/2022,$156.77
05/04/2022,$166.02
05/03/2022,$159.48
05/02/2022,$157.96
04/29/2022,$157.65
04/28/2022,$163.64
04/27/2022,$156.57
04/26/2022,$156.80
04/25/2022,$162.88
04/22/2022,$161.79
04/21/2022,$166.42
04/20/2022,$167.23
04/19/2022,$167.40
04/18/2022,$165.07
04/14/2022,$165.29
04/13/2022,$170.40
04/12/2022,$167.66
04/11/2022,$165.75
04/08/2022,$170.09
04/07/2022,$172.14
04/06/2022,$171.83
04/05/2022,$175.06
04/04/2022,$178.44
04/01/2022,$174.31
03/31/2022,$174.61
03/30/2022,$177.77
03/29/2022,$178.96
03/28/2022,$175.60
03/25/2022,$174.72
03/24/2022,$174.07
03/23/2022,$170.21
03/22/2022,$168.82
03/21/2022,$165.38
03/18/2022,$163.98
03/17/2022,$160.62
03/16/2022,$159.59
03/15/2022,$155.09
03/14/2022,$150.62
03/11/2022,$154.73
03/10/2022,$158.52
03/09/2022,$162.95
03/08/2022,$157.44
03/07/2022,$159.30
03/04/2022,$163.17
03/03/2022,$166.23
03/02/2022,$166.56
03/01/2022,$163.20
02/28/2022,$165.12
02/25/2022,$164.85
02/24/2022,$162.74
02/23/2022,$160.07
02/22/2022,$164.32
02/18/2022,$167.30
02/17/2022,$168.88
02/16/2022,$172.55
02/15/2022,$172.79
02/14/2022,$168.88
02/11/2022,$168.64
02/10/2022,$172.12
02/09/2022,$176.28
02/08/2022,$174.83
02/07/2022,$171.66
02/04/2022,$172.39
02/03/2022,$172.90
02/02/2022,$175.84
02/01/2022,$174.61
01/31/2022,$174.78
01/28/2022,$170.33
01/27/2022,$159.22
01/26/2022,$159.69
01/25/2022,$159.78
01/24/2022,$161.62
01/21/2022,$162.41
01/20/2022,$164.51
01/19/2022,$166.23
01/18/2022,$169.80
01/14/2022,$173.07
01/13/2022,$172.19
01/12/2022,$175.53
01/11/2022,$175.08
01/10/2022,$172.19
01/07/2022,$172.17
01/06/2022,$172
01/05/2022,$174.92
01/04/2022,$179.70
01/03/2022,$182.01
12/31/2021,$177.57
12/30/2021,$178.20
