Date,Close/Last
09/02/2022,$31.22
09/01/2022,$31.76
08/31/2022,$31.92
08/30/2022,$32.26
08/29/2022,$32.94
08/26/2022,$33.36
08/25/2022,$34.89
08/24/2022,$33.86
08/23/2022,$33.95
08/22/2022,$33.84
08/19/2022,$35.38
08/18/2022,$36.20
08/17/2022,$35.78
08/16/2022,$36.19
08/15/2022,$36.34
08/12/2022,$36.11
08/11/2022,$35.59
08/10/2022,$35.37
08/09/2022,$34.52
08/08/2022,$35.38
08/05/2022,$35.39
08/04/2022,$35.66
08/03/2022,$36.52
08/02/2022,$36.01
08/01/2022,$36.96
07/29/2022,$36.31
07/28/2022,$39.71
07/27/2022,$40.18
07/26/2022,$38.96
07/25/2022,$39.16
07/22/2022,$39.20
07/21/2022,$40.61
07/20/2022,$40.56
07/19/2022,$40.22
07/18/2022,$38.71
07/15/2022,$38.62
07/14/2022,$37.71
07/13/2022,$37.21
07/12/2022,$37.21
07/11/2022,$37.20
07/08/2022,$37.99
07/07/2022,$38.14
07/06/2022,$36.99
07/05/2022,$36.69
07/01/2022,$36.34
06/30/2022,$37.41
06/29/2022,$37.29
06/28/2022,$37.78
06/27/2022,$38.63
06/24/2022,$38.61
06/23/2022,$37.41
06/22/2022,$37.38
06/21/2022,$37.73
06/17/2022,$36.97
06/16/2022,$37.34
06/15/2022,$38.65
06/14/2022,$37.93
06/13/2022,$37.77
06/10/2022,$39.18
06/09/2022,$40.01
06/08/2022,$41.23
06/07/2022,$43.53
06/06/2022,$43.34
06/03/2022,$43.39
06/02/2022,$44.84
06/01/2022,$44.11
05/31/2022,$44.42
05/27/2022,$44.55
05/26/2022,$43.48
05/25/2022,$42.20
05/24/2022,$41.67
05/23/2022,$42
05/20/2022,$41.65
05/19/2022,$42.01
05/18/2022,$42.35
05/17/2022,$44.40
05/16/2022,$43.08
05/13/2022,$43.60
05/12/2022,$42.84
05/11/2022,$42.83
05/10/2022,$44.01
05/09/2022,$43.07
05/06/2022,$44.30
05/05/2022,$44.60
05/04/2022,$46.54
05/03/2022,$45.06
05/02/2022,$44.96
04/29/2022,$43.59
04/28/2022,$46.84
04/27/2022,$45.22
04/26/2022,$45.52
04/25/2022,$47.06
04/22/2022,$46.54
04/21/2022,$47.50
04/20/2022,$48.11
04/19/2022,$47.93
04/18/2022,$46.64
04/14/2022,$45.67
04/13/2022,$47.01
04/12/2022,$46.50
04/11/2022,$46.57
04/08/2022,$47.02
04/07/2022,$47.56
04/06/2022,$47.54
04/05/2022,$48.13
04/04/2022,$49.20
04/01/2022,$48.11
03/31/2022,$49.56
03/30/2022,$51.43
03/29/2022,$52.25
03/28/2022,$51.51
03/25/2022,$51.83
03/24/2022,$51.62
03/23/2022,$48.27
03/22/2022,$48.39
03/21/2022,$47.39
03/18/2022,$47.45
03/17/2022,$47.14
03/16/2022,$46.63
03/15/2022,$44.81
03/14/2022,$44.40
03/11/2022,$45.83
03/10/2022,$46.66
03/09/2022,$47.63
03/08/2022,$47.50
03/07/2022,$47.68
03/04/2022,$48.07
03/03/2022,$47.93
03/02/2022,$48.87
03/01/2022,$46.82
02/28/2022,$47.70
02/25/2022,$47.71
02/24/2022,$46.72
02/23/2022,$44.65
02/22/2022,$44.69
02/18/2022,$45.04
02/17/2022,$47.57
02/16/2022,$48.23
02/15/2022,$48.44
02/14/2022,$47.58
02/11/2022,$47.63
02/10/2022,$48.86
02/09/2022,$49.91
02/08/2022,$48.81
02/07/2022,$48.18
02/04/2022,$48.01
02/03/2022,$48.28
02/02/2022,$49.51
02/01/2022,$48.95
01/31/2022,$48.82
01/28/2022,$47.73
01/27/2022,$48.05
01/26/2022,$51.69
01/25/2022,$51
01/24/2022,$51.94
01/21/2022,$52.04
01/20/2022,$52.04
01/19/2022,$53.62
01/18/2022,$54.76
01/14/2022,$55.70
01/13/2022,$54.94
01/12/2022,$55.74
01/11/2022,$55.91
01/10/2022,$55.21
01/07/2022,$53.44
01/06/2022,$54.01
01/05/2022,$53.87
01/04/2022,$53.14
01/03/2022,$53.21
12/31/2021,$51.50
12/30/2021,$51.74
12/29/2021,$51.83
12/28/2021,$51.76
12/27/2021,$51.94
12/23/2021,$51.31
12/22/2021,$50.97
12/21/2021,$50.77
12/20/2021,$49.60
12/17/2021,$50.62
12/16/2021,$50.83
12/15/2021,$50.67
12/14/2021,$49.70
12/13/2021,$50
12/10/2021,$50.59
12/09/2021,$50.48
12/08/2021,$51.75
12/07/2021,$52.57
12/06/2021,$50.99
12/03/2021,$49.25
12/02/2021,$49.50
12/01/2021,$48.60
11/30/2021,$49.20
11/29/2021,$50
11/26/2021,$48.78
11/24/2021,$49.76
11/23/2021,$49.10
11/22/2021,$49.83
11/19/2021,$49.52
11/18/2021,$49.68
11/17/2021,$50.23
11/16/2021,$50.61
11/15/2021,$50.32
11/12/2021,$50.31
11/11/2021,$50.53
11/10/2021,$50.76
11/09/2021,$51.20
11/08/2021,$51.55
11/05/2021,$50.92
11/04/2021,$50.31
11/03/2021,$50.39
11/02/2021,$49.86
11/01/2021,$49.55
10/29/2021,$49
10/28/2021,$48.08
10/27/2021,$47.89
10/26/2021,$48.28
10/25/2021,$49.41
10/22/2021,$49.46
10/21/2021,$56
10/20/2021,$55.37
10/19/2021,$55.21
10/18/2021,$54.47
10/15/2021,$54.46
10/14/2021,$53.90
10/13/2021,$52.26
10/12/2021,$52.17
10/11/2021,$53.44
10/08/2021,$53.81
10/07/2021,$54.18
10/06/2021,$53.98
10/05/2021,$53.95
10/04/2021,$53.47
10/01/2021,$53.86
09/30/2021,$53.28
09/29/2021,$53.49
09/28/2021,$54
09/27/2021,$54.66
09/24/2021,$54.22
09/23/2021,$54.03
09/22/2021,$53.50
09/21/2021,$52.87
09/20/2021,$52.98
09/17/2021,$54.26
09/16/2021,$54.83
09/15/2021,$55.12
09/14/2021,$54.52
09/13/2021,$54.99
09/10/2021,$53.84
09/09/2021,$53.40
09/08/2021,$53.57
09/07/2021,$53.65
09/03/2021,$53.51
09/02/2021,$53.73
09/01/2021,$53.67
08/31/2021,$54.06
08/30/2021,$53.94
08/27/2021,$53.89
08/26/2021,$53.13
08/25/2021,$53.81
08/24/2021,$53.81
08/23/2021,$53.23
08/20/2021,$52.01
08/19/2021,$52.44
08/18/2021,$52.19
08/17/2021,$52.69
08/16/2021,$53.47
08/13/2021,$53.49
08/12/2021,$53.54
08/11/2021,$54.14
08/10/2021,$53.94
08/09/2021,$54.05
08/06/2021,$53.92
08/05/2021,$53.89
08/04/2021,$53.90
08/03/2021,$54.06
08/02/2021,$53.68
07/30/2021,$53.72
07/29/2021,$53.70
07/28/2021,$53.07
07/27/2021,$53.18
07/26/2021,$54.31
07/23/2021,$53
07/22/2021,$55.96
07/21/2021,$56.23
07/20/2021,$55.24
07/19/2021,$54.64
07/16/2021,$54.97
07/15/2021,$55.81
07/14/2021,$56.52
07/13/2021,$56.87
07/12/2021,$56.73
07/09/2021,$55.99
07/08/2021,$55.39
07/07/2021,$55.96
07/06/2021,$56.09
07/02/2021,$56.76
07/01/2021,$56.01
06/30/2021,$56.14
06/29/2021,$56.75
06/28/2021,$57.48
06/25/2021,$55.91
06/24/2021,$56.07
06/23/2021,$55.26
06/22/2021,$55.87
06/21/2021,$55.87
06/18/2021,$55.67
06/17/2021,$57.18
06/16/2021,$57.22
06/15/2021,$57.99
06/14/2021,$58.19
06/11/2021,$57.85
06/10/2021,$57.38
06/09/2021,$57
06/08/2021,$57
06/07/2021,$57.09
06/04/2021,$57.37
06/03/2021,$56.24
06/02/2021,$57.48
06/01/2021,$56.89
05/28/2021,$57.12
05/27/2021,$57.73
05/26/2021,$56.92
05/25/2021,$56.87
