Date,Close
1995-01-12,6.5625
1995-01-13,6.625
1995-01-16,6.75
1995-01-17,6.6575
1995-01-18,6.72
1995-01-19,6.6875
1995-01-20,6.625
1995-01-23,6.5625
1995-01-24,6.6875
1995-01-25,6.875
1995-01-26,6.7825
1995-01-27,6.75
1995-01-30,6.72
1995-01-31,6.875
1995-02-01,6.875
1995-02-02,6.9375
1995-02-03,7
1995-02-06,7
1995-02-07,6.9375
1995-02-08,6.97
1995-02-09,7
1995-02-10,6.9375
1995-02-13,6.875
1995-02-14,6.97
1995-02-15,7.095
1995-02-16,6.9375
1995-02-17,6.97
1995-02-20,6.97
1995-02-21,7.0325
1995-02-22,7.095
1995-02-23,7.1575
1995-02-24,7.0625
1995-02-27,7.0625
1995-02-28,7.1875
1995-03-01,7.22
1995-03-02,7.22
1995-03-03,7.25
1995-03-06,7.2825
1995-03-07,7.22
1995-03-08,7.3125
1995-03-09,7.25
1995-03-10,7.2825
1995-03-13,7.25
1995-03-14,7.3125
1995-03-15,7.345
1995-03-16,7.345
1995-03-17,7.345
1995-03-20,7.345
1995-03-21,7.375
1995-03-22,7.375
1995-03-23,7.375
1995-03-24,7.345
1995-03-27,7.3125
1995-03-28,7.25
1995-03-29,7.2825
1995-03-30,7.25
1995-03-31,7.1875
1995-04-03,7.125
1995-04-04,7.125
1995-04-05,7.22
1995-04-06,7.25
1995-04-07,7.22
1995-04-10,7.25
1995-04-11,7.3125
1995-04-12,7.4075
1995-04-13,7.5
1995-04-14,null
1995-04-17,7.5325
1995-04-18,7.4375
1995-04-19,7.375
1995-04-20,7.2825
1995-04-21,7.3125
1995-04-24,7.375
1995-04-25,7.375
1995-04-26,7.47
1995-04-27,7.4375
1995-04-28,7.47
1995-05-01,7.5
1995-05-02,7.47
1995-05-03,7.4375
1995-05-04,7.4375
1995-05-05,7.47
1995-05-08,7.5325
1995-05-09,7.595
1995-05-10,7.595
1995-05-11,7.5
1995-05-12,7.47
1995-05-15,7.47
1995-05-16,7.5325
1995-05-17,7.5325
1995-05-18,7.5625
1995-05-19,7.5625
1995-05-22,null
1995-05-23,7.5625
1995-05-24,7.625
1995-05-25,7.595
1995-05-26,7.5625
1995-05-29,7.5325
1995-05-30,7.5325
1995-05-31,7.5625
1995-06-01,7.5625
1995-06-02,7.6575
1995-06-05,7.72
1995-06-06,7.8125
1995-06-07,7.75
1995-06-08,7.75
1995-06-09,7.6875
1995-06-12,7.625
1995-06-13,7.75
1995-06-14,7.6875
1995-06-15,7.595
1995-06-16,7.5625
1995-06-19,7.595
1995-06-20,7.6575
1995-06-21,7.595
1995-06-22,7.6575
1995-06-23,7.6575
1995-06-26,7.625
1995-06-27,7.6575
1995-06-28,7.6875
1995-06-29,7.6875
1995-06-30,7.6875
1995-07-03,null
1995-07-04,7.6575
1995-07-05,7.6875
1995-07-06,7.6875
1995-07-07,7.6875
1995-07-10,7.72
1995-07-11,7.6875
1995-07-12,7.72
1995-07-13,7.6575
1995-07-14,7.6575
1995-07-17,7.625
1995-07-18,7.5625
1995-07-19,7.5
1995-07-20,7.47
1995-07-21,7.375
1995-07-24,7.345
1995-07-25,7.3125
1995-07-26,7.3125
1995-07-27,7.3125
1995-07-28,7.3125
1995-07-31,7.3125
1995-08-01,7.1875
1995-08-02,7.25
1995-08-03,7.2825
1995-08-04,7.2825
1995-08-07,null
1995-08-08,7.345
1995-08-09,7.375
1995-08-10,7.4075
1995-08-11,7.4375
1995-08-14,7.4375
1995-08-15,7.47
1995-08-16,7.5
1995-08-17,7.4375
1995-08-18,7.4375
1995-08-21,7.4075
1995-08-22,7.47
1995-08-23,7.5325
1995-08-24,7.47
1995-08-25,7.5
1995-08-28,7.5325
1995-08-29,7.5
1995-08-30,7.4375
1995-08-31,7.47
1995-09-01,7.4375
1995-09-04,null
1995-09-05,7.5325
1995-09-06,7.5625
1995-09-07,7.47
1995-09-08,7.5
1995-09-11,7.4375
1995-09-12,7.4075
1995-09-13,7.345
1995-09-14,7.3125
1995-09-15,7.3125
1995-09-18,7.375
1995-09-19,7.375
1995-09-20,7.375
1995-09-21,7.375
1995-09-22,7.345
1995-09-25,7.4075
1995-09-26,7.4375
1995-09-27,7.375
1995-09-28,7.3125
1995-09-29,7.375
1995-10-02,7.4075
1995-10-03,7.6575
1995-10-04,7.6575
1995-10-05,7.6575
1995-10-06,7.595
1995-10-09,null
1995-10-10,7.6875
1995-10-11,7.625
1995-10-12,7.625
1995-10-13,7.6875
1995-10-16,7.75
1995-10-17,7.7825
1995-10-18,7.7825
1995-10-19,7.72
1995-10-20,7.625
1995-10-23,7.1875
1995-10-24,7.25
1995-10-25,7.125
1995-10-26,7.22
1995-10-27,7.345
1995-10-30,7.4075
1995-10-31,7.5
1995-11-01,7.5
1995-11-02,7.6575
1995-11-03,7.6875
1995-11-06,7.72
1995-11-07,7.6575
1995-11-08,7.6575
1995-11-09,7.5625
1995-11-10,7.595
1995-11-13,7.6575
1995-11-14,7.6875
1995-11-15,7.6875
1995-11-16,7.72
1995-11-17,7.72
1995-11-20,7.72
1995-11-21,7.75
1995-11-22,7.8125
1995-11-23,7.8125
1995-11-24,7.8125
1995-11-27,7.845
1995-11-28,7.845
1995-11-29,7.845
1995-11-30,7.8125
1995-12-01,7.97
1995-12-04,8.095
1995-12-05,7.97
1995-12-06,8.0625
1995-12-07,8.0325
1995-12-08,8.0325
1995-12-11,7.9375
1995-12-12,7.72
1995-12-13,7.75
1995-12-14,7.75
1995-12-15,7.72
1995-12-18,7.5625
1995-12-19,7.6875
1995-12-20,7.72
1995-12-21,7.6875
1995-12-22,7.7825
1995-12-25,null
1995-12-26,null
1995-12-27,7.7825
1995-12-28,7.7825
1995-12-29,7.7825
1996-01-01,null
1996-01-02,7.9075
1996-01-03,7.97
1996-01-04,8.0325
1996-01-05,8.0325
1996-01-08,7.97
1996-01-09,7.9075
1996-01-10,7.7825
1996-01-11,7.845
1996-01-12,7.8125
1996-01-15,7.845
1996-01-16,8.0325
1996-01-17,8.0325
1996-01-18,8.1875
1996-01-19,8.1875
1996-01-22,8.0325
1996-01-23,7.9375
1996-01-24,8.0625
1996-01-25,8.0325
1996-01-26,8.095
1996-01-29,8.22
1996-01-30,8.3125
1996-01-31,8.2825
1996-02-01,8.345
1996-02-02,8.22
1996-02-05,8.125
1996-02-06,8.095
1996-02-07,8.1875
1996-02-08,8.1575
1996-02-09,8.1575
1996-02-12,8.22
1996-02-13,8.25
1996-02-14,8.1575
1996-02-15,8
1996-02-16,8
1996-02-19,7.875
1996-02-20,7.6875
1996-02-21,7.72
1996-02-22,7.8125
1996-02-23,7.7825
1996-02-26,7.7825
1996-02-27,7.845
1996-02-28,7.9075
1996-02-29,7.845
1996-03-01,8
1996-03-04,8.0925
1996-03-05,8.0625
1996-03-06,8.0625
1996-03-07,8
1996-03-08,7.8425
1996-03-11,7.875
1996-03-12,7.8425
1996-03-13,7.875
1996-03-14,7.9675
1996-03-15,7.9375
1996-03-18,7.9375
1996-03-19,7.9675
1996-03-20,7.9375
1996-03-21,7.905
1996-03-22,7.9375
1996-03-25,7.9375
1996-03-26,7.9075
1996-03-27,7.875
1996-03-28,7.9075
1996-03-29,7.9675
1996-04-01,8.0625
1996-04-02,8.1875
1996-04-03,8.1875
1996-04-04,8.22
1996-04-05,null
1996-04-08,8.125
1996-04-09,8.125
1996-04-10,8
1996-04-11,8
1996-04-12,8.0625
1996-04-15,8.1125
1996-04-16,8.125
1996-04-17,8.075
1996-04-18,8.1125
1996-04-19,8.225
1996-04-22,8.225
1996-04-23,8.1625
1996-04-24,8.1375
1996-04-25,8.15
1996-04-26,8.175
1996-04-29,8.1375
1996-04-30,8.0625
1996-05-01,8.15
1996-05-02,8.125
1996-05-03,8.1125
1996-05-06,8.0875
1996-05-07,8.0875
1996-05-08,8.1
1996-05-09,8.1125
1996-05-10,8.2375
1996-05-13,8.275
