Date,Close/Last
09/02/2022,40.92
09/01/2022,40.94
08/31/2022,40.99
08/30/2022,41.2
08/29/2022,41.39
08/26/2022,41.47
08/25/2022,41.97
08/24/2022,41.75
08/23/2022,41.7
08/22/2022,41.57
08/19/2022,41.93
08/18/2022,42.25
08/17/2022,42.19
08/16/2022,42.47
08/15/2022,42.61
08/12/2022,42.66
08/11/2022,42.36
08/10/2022,42.53
08/09/2022,42.05
08/08/2022,42.27
08/05/2022,42.27
08/04/2022,42.33
08/03/2022,42.25
08/02/2022,41.95
08/01/2022,42.03
07/29/2022,42.27
07/28/2022,42.16
07/27/2022,41.84
07/26/2022,41.49
07/25/2022,41.67
07/22/2022,41.65
07/21/2022,41.74
07/20/2022,41.4
07/19/2022,41.23
07/18/2022,40.76
07/15/2022,41.06
07/14/2022,40.74
07/13/2022,40.82
07/12/2022,40.87
07/11/2022,40.8
07/08/2022,40.95
07/07/2022,40.91
07/06/2022,40.41
07/05/2022,40.53
07/01/2022,40.57
06/30/2022,40.55
06/29/2022,40.6
06/28/2022,40.67
06/27/2022,41.01
06/24/2022,41.19
06/23/2022,41
06/22/2022,40.73
06/21/2022,40.8
06/17/2022,40.9
06/16/2022,40.73
06/15/2022,41.22
06/14/2022,40.52
06/13/2022,40.27
06/10/2022,41.36
06/09/2022,42.02
06/08/2022,42.27
06/07/2022,42.52
06/06/2022,42.46
06/03/2022,42.59
06/02/2022,42.81
06/01/2022,42.67
05/31/2022,42.94
05/27/2022,43.2
05/26/2022,42.86
05/25/2022,42.48
05/24/2022,42.07
05/23/2022,41.9
05/20/2022,41.81
05/19/2022,41.87
05/18/2022,41.64
05/17/2022,41.87
05/16/2022,41.89
05/13/2022,41.97
05/12/2022,41.94
05/11/2022,41.99
05/10/2022,42.21
05/09/2022,42.05
05/06/2022,42.38
05/05/2022,42.54
05/04/2022,43.04
05/03/2022,42.74
05/02/2022,42.58
04/29/2022,42.71
04/28/2022,43.08
04/27/2022,42.88
04/26/2022,43.02
04/25/2022,43.25
04/22/2022,43
04/21/2022,43.16
04/20/2022,43.32
04/19/2022,43.27
04/18/2022,43.24
04/14/2022,43.31
04/13/2022,43.49
04/12/2022,43.27
04/11/2022,43.07
04/08/2022,43.25
04/07/2022,43.37
04/06/2022,43.44
04/05/2022,43.65
04/04/2022,44.02
04/01/2022,43.8
03/31/2022,43.96
03/30/2022,44.09
03/29/2022,44.16
03/28/2022,43.81
03/25/2022,43.67
03/24/2022,43.84
03/23/2022,43.74
03/22/2022,43.8
03/21/2022,43.64
03/18/2022,43.92
03/17/2022,43.82
03/16/2022,43.61
03/15/2022,43.21
03/14/2022,43.01
03/11/2022,43.31
03/10/2022,43.54
03/09/2022,43.73
03/08/2022,43.46
03/07/2022,43.52
03/04/2022,43.85
03/03/2022,44.06
03/02/2022,44.13
03/01/2022,44.02
02/28/2022,44.33
02/25/2022,44.32
02/24/2022,44.13
02/23/2022,44
02/22/2022,44.03
02/18/2022,44.12
02/17/2022,44.04
02/16/2022,44.2
02/15/2022,44.05
02/14/2022,44
02/11/2022,43.98
02/10/2022,44.09
02/09/2022,44.46
02/08/2022,44.29
02/07/2022,44.33
