Date,Close/Last
09/02/2022,196.71
09/01/2022,198.68
08/31/2022,198.56
08/30/2022,200.03
08/29/2022,202.28
08/26/2022,203.77
08/25/2022,210.75
08/24/2022,207.74
08/23/2022,206.87
08/22/2022,207.26
08/19/2022,211.79
08/18/2022,214.86
08/17/2022,214.3
08/16/2022,216.24
08/15/2022,215.78
08/12/2022,214.94
08/11/2022,211.28
08/10/2022,211.27
08/09/2022,206.56
08/08/2022,207.87
08/05/2022,207.68
08/04/2022,207.75
08/03/2022,207.95
08/02/2022,204.66
08/01/2022,205.77
07/29/2022,206.25
07/28/2022,203.48
07/27/2022,200.86
07/26/2022,195.72
07/25/2022,198.17
07/22/2022,197.9
07/21/2022,200.07
07/20/2022,198.11
07/19/2022,196.52
07/18/2022,191.18
07/15/2022,192.51
07/14/2022,188.84
07/13/2022,189.68
07/12/2022,190.51
07/11/2022,192.17
07/08/2022,194.63
07/07/2022,194.83
07/06/2022,191.67
07/05/2022,191.29
07/01/2022,190.61
06/30/2022,188.62
06/29/2022,190.26
06/28/2022,190.58
06/27/2022,194.59
06/24/2022,195.19
06/23/2022,189.08
06/22/2022,188.13
06/21/2022,188.16
06/17/2022,183.71
06/16/2022,183.02
06/15/2022,189.64
06/14/2022,186.92
06/13/2022,187.45
06/10/2022,195.43
06/09/2022,201.41
06/08/2022,206.35
06/07/2022,208.69
06/06/2022,206.45
06/03/2022,205.84
06/02/2022,209.18
06/01/2022,205
05/31/2022,206.36
05/27/2022,208.07
05/26/2022,202.93
05/25/2022,198.86
05/24/2022,196.67
05/23/2022,198.66
05/20/2022,195.32
05/19/2022,195.32
05/18/2022,196.19
05/17/2022,204.18
05/16/2022,199.91
05/13/2022,200.9
05/12/2022,195.66
05/11/2022,195.45
05/10/2022,199.05
05/09/2022,198.65
05/06/2022,205.95
05/05/2022,207.62
05/04/2022,215.57
05/03/2022,209.43
05/02/2022,208.44
04/29/2022,206.88
04/28/2022,214.77
04/27/2022,209.66
04/26/2022,209.25
04/25/2022,215.39
04/22/2022,214.22
04/21/2022,220.22
04/20/2022,223.88
04/19/2022,224.17
04/18/2022,220.29
04/14/2022,220.67
04/13/2022,223.39
04/12/2022,220.5
04/11/2022,221.18
04/08/2022,224.69
04/07/2022,225.39
04/06/2022,224.54
04/05/2022,227.15
04/04/2022,230.52
04/01/2022,228.58
03/31/2022,227.67
03/30/2022,231.16
03/29/2022,233.05
03/28/2022,229.57
03/25/2022,228.09
03/24/2022,227.12
03/23/2022,223.93
03/22/2022,227.73
03/21/2022,224.97
03/18/2022,225.18
03/17/2022,222.58
03/16/2022,219.64
03/15/2022,214.28
03/14/2022,209.9
03/11/2022,211.99
03/10/2022,214.91
03/09/2022,215.88
03/08/2022,210.05
03/07/2022,211.24
03/04/2022,217.96
03/03/2022,220.16
03/02/2022,221.85
03/01/2022,217.72
02/28/2022,221.17
02/25/2022,221.41
02/24/2022,216.59
02/23/2022,212.86
02/22/2022,216.85
02/18/2022,219.37
02/17/2022,221.14
02/16/2022,226.28
02/15/2022,226.07
02/14/2022,222.12
02/11/2022,222.94
02/10/2022,227.35
02/09/2022,231.27
02/08/2022,227.57
02/07/2022,225.5
02/04/2022,226.07
02/03/2022,224.58
02/02/2022,230.05
02/01/2022,228.54
01/31/2022,226.81
01/28/2022,222.09
01/27/2022,216.75
01/26/2022,218.37
01/25/2022,219.22
01/24/2022,222.33
01/21/2022,220.91
01/20/2022,225.37
01/19/2022,228.03
01/18/2022,230.45
01/14/2022,235.02
01/13/2022,234.93
01/12/2022,238.42
01/11/2022,238.05
01/10/2022,235.7
01/07/2022,236.11
01/06/2022,237.19
01/05/2022,237.25
01/04/2022,242.51
01/03/2022,242.97
12/31/2021,241.44
12/30/2021,242.21
12/29/2021,242.6
12/28/2021,242.46
12/27/2021,242.96
12/23/2021,240.67
12/22/2021,239.02
12/21/2021,236.68
12/20/2021,232.13
12/17/2021,235.44
12/16/2021,236.52
12/15/2021,239.2
12/14/2021,235.57
12/13/2021,237.35
12/10/2021,239.53
12/09/2021,237.91
12/08/2021,240.2
12/07/2021,239.17
12/06/2021,234.16
12/03/2021,231.19
12/02/2021,233.9
12/01/2021,230.16
11/30/2021,233.45
11/29/2021,238.21
11/26/2021,235.99
11/24/2021,241.21
11/23/2021,240.4
11/22/2021,240.32
11/19/2021,241.48
11/18/2021,242.17
11/17/2021,241.79
11/16/2021,242.79
11/15/2021,241.75
11/12/2021,241.75
11/11/2021,239.97
11/10/2021,239.68
11/09/2021,242.06
11/08/2021,242.76
11/05/2021,242.36
11/04/2021,241.43
11/03/2021,240.52
11/02/2021,238.83
11/01/2021,238.09
10/29/2021,236.91
10/28/2021,236.6
10/27/2021,234.1
10/26/2021,235.71
10/25/2021,235.8
10/22/2021,234.36
10/21/2021,234.81
10/20/2021,234.17
10/19/2021,233.26
10/18/2021,231.57
10/15/2021,230.73
10/14/2021,229.37
10/13/2021,225.62
10/12/2021,224.6
10/11/2021,224.76
10/08/2021,226.39
10/07/2021,226.89
10/06/2021,224.73
10/05/2021,223.8
10/04/2021,221.73
10/01/2021,225.12
09/30/2021,222.06
09/29/2021,224.49
09/28/2021,224.34
09/27/2021,229.14
09/24/2021,229.64
09/23/2021,230.09
09/22/2021,227.32
09/21/2021,225.05
09/20/2021,225.07
09/17/2021,229.04
09/16/2021,230.89
09/15/2021,231.1
09/14/2021,229.21
09/13/2021,230.6
09/10/2021,230.08
09/09/2021,231.92
09/08/2021,232.73
09/07/2021,233.28
09/03/2021,234.29
09/02/2021,234.37
09/01/2021,233.58
08/31/2021,233.17
08/30/2021,233.61
08/27/2021,232.73
08/26/2021,230.25
08/25/2021,231.8
08/24/2021,231.14
08/23/2021,230.32
08/20/2021,228.11
08/19/2021,226.08
08/18/2021,226.25
08/17/2021,228.53
08/16/2021,230.24
08/13/2021,230.15
08/12/2021,230.02
08/11/2021,229.38
08/10/2021,228.93
08/09/2021,228.78
08/06/2021,228.87
08/05/2021,228.59
08/04/2021,226.97
08/03/2021,227.99
08/02/2021,226.37
07/30/2021,226.69
07/29/2021,228.04
07/28/2021,227.04
07/27/2021,226.69
07/26/2021,227.92
07/23/2021,227.46
07/22/2021,225.21
07/21/2021,225.02
07/20/2021,223.02
07/19/2021,219.23
07/16/2021,222.39
07/15/2021,224.15
07/14/2021,224.94
07/13/2021,225.25
07/12/2021,226.51
07/09/2021,225.88
07/08/2021,223.18
07/07/2021,225.08
07/06/2021,224.78
07/02/2021,225.27
07/01/2021,224.03
06/30/2021,222.82
06/29/2021,222.81
06/28/2021,222.8
06/25/2021,222.55
06/24/2021,221.72
06/23/2021,220.9
06/22/2021,220.99
06/21/2021,219.74
06/18/2021,216.75
06/17/2021,219.47
06/16/2021,219.68
06/15/2021,220.78
06/14/2021,221.36
06/11/2021,221.02
06/10/2021,220.37
06/09/2021,219.4
06/08/2021,220.02
06/07/2021,219.57
06/04/2021,219.39
06/03/2021,217.5
06/02/2021,218.47
06/01/2021,218.18
05/28/2021,218.09
05/27/2021,217.72
05/26/2021,217.32
05/25/2021,216.54
05/24/2021,217.14
05/21/2021,214.97
05/20/2021,215.09
05/19/2021,212.78
05/18/2021,213.4
05/17/2021,215.08
05/14/2021,215.54
05/13/2021,211.92
05/12/2021,209.61
05/11/2021,214.44
05/10/2021,216.18
05/07/2021,218.75
05/06/2021,216.91
05/05/2021,215.81
05/04/2021,215.85
05/03/2021,217.48
04/30/2021,217.1
04/29/2021,218.7
04/28/2021,217.87
04/27/2021,217.9
04/26/2021,218
04/23/2021,217.21
04/22/2021,214.61
04/21/2021,216.3
04/20/2021,213.75
04/19/2021,215.73
04/16/2021,217.15
04/15/2021,216.6
04/14/2021,214.32
04/13/2021,214.8
04/12/2021,214.2
04/09/2021,214.14
04/08/2021,212.85
04/07/2021,211.62
04/06/2021,211.8
04/05/2021,211.72
