Date,Close/Last
09/02/2022,$127.79
09/01/2022,$129.66
08/31/2022,$128.45
08/30/2022,$129.58
08/29/2022,$130.31
08/26/2022,$130.38
08/25/2022,$133.98
08/24/2022,$133.23
08/23/2022,$134.74
08/22/2022,$135.55
08/19/2022,$138.37
08/18/2022,$139.07
08/17/2022,$137.79
08/16/2022,$136.56
08/15/2022,$134.93
08/12/2022,$134.01
08/11/2022,$132.54
08/10/2022,$131.50
08/09/2022,$129.47
08/08/2022,$132.61
08/05/2022,$132.48
08/04/2022,$131.64
08/03/2022,$132.34
08/02/2022,$131.81
08/01/2022,$132.04
07/29/2022,$130.79
07/28/2022,$129.22
07/27/2022,$129.12
07/26/2022,$128.08
07/25/2022,$128.54
07/22/2022,$128.25
07/21/2022,$127.15
07/20/2022,$129.18
07/19/2022,$130.88
07/18/2022,$138.13
07/15/2022,$139.92
07/14/2022,$139.06
07/13/2022,$137.18
07/12/2022,$139.18
07/11/2022,$141
07/08/2022,$140.47
07/07/2022,$140.83
07/06/2022,$138.08
07/05/2022,$137.62
07/01/2022,$141.12
06/30/2022,$141.19
06/29/2022,$140.71
06/28/2022,$141.86
06/27/2022,$142.80
06/24/2022,$142.06
06/23/2022,$138.44
06/22/2022,$137.08
06/21/2022,$137.85
06/17/2022,$135.02
06/16/2022,$135.67
06/15/2022,$137.06
06/14/2022,$135.72
06/13/2022,$135.11
06/10/2022,$136.19
06/09/2022,$137.96
06/08/2022,$140.83
06/07/2022,$142.78
06/06/2022,$142.88
06/03/2022,$141.18
06/02/2022,$140.15
06/01/2022,$139.43
05/31/2022,$138.84
05/27/2022,$139.27
05/26/2022,$136.89
05/25/2022,$134.39
05/24/2022,$133.80
05/23/2022,$131.17
05/20/2022,$128.48
05/19/2022,$129.66
05/18/2022,$132.94
05/17/2022,$138.37
05/16/2022,$135.03
05/13/2022,$133.60
05/12/2022,$132.90
05/11/2022,$130.75
05/10/2022,$129.13
05/09/2022,$134.44
05/06/2022,$137.67
05/05/2022,$135.92
05/04/2022,$137.40
05/03/2022,$132.52
05/02/2022,$133.04
04/29/2022,$132.21
04/28/2022,$135.74
04/27/2022,$135.06
04/26/2022,$136.19
04/25/2022,$139.10
04/22/2022,$138.25
04/21/2022,$139.85
04/20/2022,$138.32
04/19/2022,$129.15
04/18/2022,$126.17
04/14/2022,$126.56
04/13/2022,$126.14
04/12/2022,$125.98
04/11/2022,$126.37
04/08/2022,$127.73
04/07/2022,$128.55
04/06/2022,$129.39
04/05/2022,$128.89
04/04/2022,$130.27
04/01/2022,$130.15
03/31/2022,$130.02
03/30/2022,$132.13
03/29/2022,$131.94
03/28/2022,$131.47
03/25/2022,$131.35
03/24/2022,$129.25
03/23/2022,$128.30
03/22/2022,$129.06
03/21/2022,$128.10
03/18/2022,$128.76
03/17/2022,$127.96
03/16/2022,$127.04
03/15/2022,$125.64
03/14/2022,$123.94
03/11/2022,$123.96
03/10/2022,$124.35
03/09/2022,$126.22
03/08/2022,$125.68
03/07/2022,$126.07
03/04/2022,$126.62
03/03/2022,$125.93
03/02/2022,$123.86
