Date,Close/Last
09/02/2022,50.22
09/01/2022,50.53
08/31/2022,51.09
08/30/2022,51.29
08/29/2022,51.75
08/26/2022,51.9
08/25/2022,53.11
08/24/2022,52.42
08/23/2022,52.32
08/22/2022,52.18
08/19/2022,52.94
08/18/2022,53.66
08/17/2022,53.87
08/16/2022,54.25
08/15/2022,54.22
08/12/2022,54.525
08/11/2022,54.1
08/10/2022,54.02
08/09/2022,52.92
08/08/2022,53.2
08/05/2022,53.04
08/04/2022,53.3
08/03/2022,53.02
08/02/2022,52.68
08/01/2022,53.34
07/29/2022,53.49
07/28/2022,53
07/27/2022,52.68
07/26/2022,51.58
07/25/2022,52.19
07/22/2022,51.84
07/21/2022,52.1
07/20/2022,51.52
07/19/2022,51.8
07/18/2022,50.6
07/15/2022,50.28
07/14/2022,49.66
07/13/2022,50.34
07/12/2022,50.4
07/11/2022,50.47
07/08/2022,51.47
07/07/2022,51.43
07/06/2022,50.55
07/05/2022,50.64
07/01/2022,51.59
06/30/2022,51.61
06/29/2022,51.8
06/28/2022,52.13
06/27/2022,52.4
06/24/2022,52.46
06/23/2022,51.07
06/22/2022,51.14
06/21/2022,51.71
06/17/2022,51.43
06/16/2022,51.59
06/15/2022,52.96
06/14/2022,52.15
06/13/2022,52.27
06/10/2022,54.09
06/09/2022,55.19
06/08/2022,56.37
06/07/2022,56.83
06/06/2022,56.66
06/03/2022,56.41
06/02/2022,57.28
06/01/2022,56.16
05/31/2022,56.71
05/27/2022,56.66
05/26/2022,55.95
05/25/2022,55.29
05/24/2022,55.2
05/23/2022,55.64
05/20/2022,54.85
05/19/2022,54.54
05/18/2022,53.95
05/17/2022,55.22
05/16/2022,54.11
05/13/2022,54.12
05/12/2022,52.7
05/11/2022,52.9
05/10/2022,53.19
05/09/2022,52.92
05/06/2022,54.59
05/05/2022,55.16
05/04/2022,56.98
05/03/2022,56.17
05/02/2022,55.69
04/29/2022,55.86
04/28/2022,56.36
04/27/2022,55.54
04/26/2022,55.17
04/25/2022,56.62
04/22/2022,57.01
04/21/2022,57.91
04/20/2022,58.67
04/19/2022,58.46
04/18/2022,58.34
04/14/2022,58.56
04/13/2022,58.95
04/12/2022,58.26
04/11/2022,58.58
04/08/2022,59.28
04/07/2022,59.26
04/06/2022,59.3
04/05/2022,60.05
04/04/2022,60.88
04/01/2022,60.39
03/31/2022,59.74
03/30/2022,60.71
03/29/2022,60.92
03/28/2022,59.75
03/25/2022,59.86
03/24/2022,59.9
03/23/2022,59.49
03/22/2022,60.11
03/21/2022,59.47
03/18/2022,60.01
03/17/2022,59.32
03/16/2022,59.02
03/15/2022,56.57
03/14/2022,56.18
03/11/2022,56.26
03/10/2022,56.94
03/09/2022,57.66
03/08/2022,55.74
03/07/2022,55.42
03/04/2022,57.24
03/03/2022,58.6
03/02/2022,59.51
03/01/2022,58.89
02/28/2022,60.01
02/25/2022,60.79
02/24/2022,59.44
02/23/2022,60.21
02/22/2022,60.81
02/18/2022,61.54
02/17/2022,61.93
02/16/2022,62.8
02/15/2022,62.52
02/14/2022,61.4
02/11/2022,61.77
02/10/2022,62.63
02/09/2022,63.35
02/08/2022,62.33
02/07/2022,61.97
02/04/2022,61.88
02/03/2022,61.78
02/02/2022,62.62
02/01/2022,62.3
01/31/2022,61.77
01/28/2022,60.61
01/27/2022,60.32
01/26/2022,60.75
01/25/2022,61.14
01/24/2022,61.37
01/21/2022,62.09
01/20/2022,63
01/19/2022,63.18
01/18/2022,63.13
01/14/2022,64.08
01/13/2022,64.14
01/12/2022,64.7
01/11/2022,63.95
01/10/2022,63.05
01/07/2022,63.52
01/06/2022,63.24
01/05/2022,63.42
01/04/2022,64.06
01/03/2022,63.98
12/31/2021,63.57
12/30/2021,63.66
12/29/2021,63.57
12/28/2021,63.63
12/27/2021,63.7
12/23/2021,63.24
12/22/2021,62.89
12/21/2021,62.33
12/20/2021,61.51
12/17/2021,62.87
12/16/2021,63.54
12/15/2021,63.46
12/14/2021,62.94
12/13/2021,63.19
12/10/2021,63.97
12/09/2021,63.87
12/08/2021,64.35
12/07/2021,64.2
12/06/2021,62.99
12/03/2021,62.38
12/02/2021,62.83
12/01/2021,62.01
11/30/2021,62.31
11/29/2021,62.73
11/26/2021,62.46
11/24/2021,64.3
11/23/2021,64.56
11/22/2021,64.6
11/19/2021,65.01
11/18/2021,65.43
11/17/2021,65.61
11/16/2021,65.76
11/15/2021,65.9
11/12/2021,66.04
11/11/2021,65.66
11/10/2021,65.23
11/09/2021,65.89
11/08/2021,66.09
11/05/2021,65.88
11/04/2021,65.74
11/03/2021,65.81
11/02/2021,65.38
11/01/2021,65.71
10/29/2021,65.08
10/28/2021,65.63
10/27/2021,65.15
10/26/2021,65.5
10/25/2021,65.55
10/22/2021,65.48
10/21/2021,65.28
10/20/2021,65.67
10/19/2021,65.5
10/18/2021,64.98
10/15/2021,65.18
10/14/2021,64.62
10/13/2021,64.08
10/12/2021,63.36
10/11/2021,63.4
10/08/2021,63.59
10/07/2021,63.51
10/06/2021,62.79
10/05/2021,63.16
10/04/2021,62.78
10/01/2021,63.44
09/30/2021,63.26
09/29/2021,63.31
09/28/2021,63.58
09/27/2021,64.83
09/24/2021,64.73
09/23/2021,65.35
09/22/2021,64.7
09/21/2021,64.19
09/20/2021,63.62
09/17/2021,65.34
09/16/2021,66.05
09/15/2021,66.37
09/14/2021,66.21
09/13/2021,66.55
09/10/2021,66.12
09/09/2021,66.24
09/08/2021,66.3
09/07/2021,66.98
09/03/2021,67
09/02/2021,66.65
09/01/2021,66.47
08/31/2021,65.89
08/30/2021,65.66
08/27/2021,65.64
08/26/2021,64.93
08/25/2021,65.37
08/24/2021,65.31
