Date,Close
2004-12-01,3.85
2004-12-02,3.5
2004-12-03,3.55
2004-12-06,3.45
2004-12-07,3.3
2004-12-08,3.3
2004-12-09,3.5
2004-12-10,3.4
2004-12-13,3.7
2004-12-14,3.65
2004-12-15,3.8
2004-12-16,3.65
2004-12-17,3.75
2004-12-20,3.95
2004-12-21,3.83
2004-12-22,3.8
2004-12-23,3.74
2004-12-24,3.75
2004-12-27,null
2004-12-28,null
2004-12-29,3.75
2004-12-30,3.7
2004-12-31,3.8
2005-01-04,3.55
2005-01-05,3.48
2005-01-06,3.48
2005-01-07,3.43
2005-01-10,3.45
2005-01-11,3.39
2005-01-12,3.35
2005-01-13,3.28
2005-01-14,3.15
2005-01-17,3.2
2005-01-18,3.08
2005-01-19,3.21
2005-01-20,3.2
2005-01-21,3.2
2005-01-24,3.26
2005-01-25,3.23
2005-01-26,3.35
2005-01-27,3.28
2005-01-28,3.29
2005-01-31,3.27
2005-02-01,3.15
2005-02-02,3.17
2005-02-03,3.26
2005-02-04,3.3
2005-02-07,3.25
2005-02-08,3.3
2005-02-09,3.31
2005-02-10,3.66
2005-02-11,3.75
2005-02-14,3.86
2005-02-15,3.8
2005-02-16,3.71
2005-02-17,3.8
2005-02-18,3.82
2005-02-21,3.8
2005-02-22,4.02
2005-02-23,4
2005-02-24,3.95
2005-02-25,3.88
2005-02-28,3.93
2005-03-01,3.88
2005-03-02,3.95
2005-03-03,3.9
2005-03-04,4.06
2005-03-07,4.13
2005-03-08,4.29
2005-03-09,4.42
2005-03-10,4.25
2005-03-11,4.28
2005-03-14,4.21
2005-03-15,4.34
2005-03-16,4.46
2005-03-17,4.38
2005-03-18,4.5
2005-03-21,4.38
2005-03-22,4.14
2005-03-23,4.03
2005-03-24,3.96
2005-03-28,3.9
2005-03-29,3.74
2005-03-30,3.75
2005-03-31,3.87
2005-04-01,3.83
2005-04-04,3.7
2005-04-05,3.65
2005-04-06,3.64
2005-04-07,3.65
2005-04-08,3.58
2005-04-11,3.62
2005-04-12,3.52
2005-04-13,3.5
2005-04-14,3.41
2005-04-15,3.3
2005-04-18,3.32
2005-04-19,3.45
2005-04-20,3.46
2005-04-21,3.4
2005-04-22,3.5
2005-04-25,3.52
2005-04-26,3.64
2005-04-27,3.48
2005-04-28,3.39
2005-04-29,3.42
2005-05-02,3.28
2005-05-03,3.4
2005-05-04,3.54
2005-05-05,3.64
2005-05-06,3.67
2005-05-09,3.7
2005-05-10,3.57
2005-05-11,3.55
2005-05-12,3.34
2005-05-13,3.45
2005-05-16,3.3
2005-05-17,3.38
2005-05-18,3.44
2005-05-19,3.39
2005-05-20,3.3
2005-05-24,3.47
2005-05-25,3.5
2005-05-26,3.44
2005-05-27,3.57
2005-05-30,3.54
2005-05-31,3.56
2005-06-01,3.8
2005-06-02,3.83
2005-06-03,3.85
2005-06-06,3.85
2005-06-07,3.77
